value,date,realtime_start,realtime_end
1108397,2002-05-01,2018-11-24,2018-11-24
1102590,2002-06-01,2018-11-24,2018-11-24
1106888,2002-07-01,2018-11-24,2018-11-24
1107788,2002-08-01,2018-11-24,2018-11-24
1123981,2002-09-01,2018-11-24,2018-11-24
1155466,2002-10-01,2018-11-24,2018-11-24
1163421,2002-11-01,2018-11-24,2018-11-24
1124357,2002-12-01,2018-11-24,2018-11-24
1133336,2003-01-01,2018-11-24,2018-11-24
1148853,2003-02-01,2018-11-24,2018-11-24
1152247,2003-03-01,2018-11-24,2018-11-24
1155995,2003-04-01,2018-11-24,2018-11-24
1143502,2003-05-01,2018-11-24,2018-11-24
1132545,2003-06-01,2018-11-24,2018-11-24
1127423,2003-07-01,2018-11-24,2018-11-24
1119164,2003-08-01,2018-11-24,2018-11-24
1132069,2003-09-01,2018-11-24,2018-11-24
1167310,2003-10-01,2018-11-24,2018-11-24
1176290,2003-11-01,2018-11-24,2018-11-24
1133494,2003-12-01,2018-11-24,2018-11-24
1142349,2004-01-01,2018-11-24,2018-11-24
1159588,2004-02-01,2018-11-24,2018-11-24
1172616,2004-03-01,2018-11-24,2018-11-24
1182818,2004-04-01,2018-11-24,2018-11-24
1181878,2004-05-01,2018-11-24,2018-11-24
1186159,2004-06-01,2018-11-24,2018-11-24
1194192,2004-07-01,2018-11-24,2018-11-24
1201482,2004-08-01,2018-11-24,2018-11-24
1211812,2004-09-01,2018-11-24,2018-11-24
1248972,2004-10-01,2018-11-24,2018-11-24
1269840,2004-11-01,2018-11-24,2018-11-24
1225450,2004-12-01,2018-11-24,2018-11-24
1245168,2005-01-01,2018-11-24,2018-11-24
1261228,2005-02-01,2018-11-24,2018-11-24
1272998,2005-03-01,2018-11-24,2018-11-24
1281111,2005-04-01,2018-11-24,2018-11-24
1273841,2005-05-01,2018-11-24,2018-11-24
1266265,2005-06-01,2018-11-24,2018-11-24
1259652,2005-07-01,2018-11-24,2018-11-24
1262073,2005-08-01,2018-11-24,2018-11-24
1279664,2005-09-01,2018-11-24,2018-11-24
1316722,2005-10-01,2018-11-24,2018-11-24
1332567,2005-11-01,2018-11-24,2018-11-24
1296279,2005-12-01,2018-11-24,2018-11-24
1314928,2006-01-01,2018-11-24,2018-11-24
1326292,2006-02-01,2018-11-24,2018-11-24
1342439,2006-03-01,2018-11-24,2018-11-24
1354566,2006-04-01,2018-11-24,2018-11-24
1361158,2006-05-01,2018-11-24,2018-11-24
1366616,2006-06-01,2018-11-24,2018-11-24
1371049,2006-07-01,2018-11-24,2018-11-24
1378410,2006-08-01,2018-11-24,2018-11-24
1394671,2006-09-01,2018-11-24,2018-11-24
1427827,2006-10-01,2018-11-24,2018-11-24
1440290,2006-11-01,2018-11-24,2018-11-24
1389464,2006-12-01,2018-11-24,2018-11-24
1404113,2007-01-01,2018-11-24,2018-11-24
1417759,2007-02-01,2018-11-24,2018-11-24
1421965,2007-03-01,2018-11-24,2018-11-24
1432810,2007-04-01,2018-11-24,2018-11-24
1434501,2007-05-01,2018-11-24,2018-11-24
1435032,2007-06-01,2018-11-24,2018-11-24
1437124,2007-07-01,2018-11-24,2018-11-24
1439626,2007-08-01,2018-11-24,2018-11-24
1460055,2007-09-01,2018-11-24,2018-11-24
1495048,2007-10-01,2018-11-24,2018-11-24
1510232,2007-11-01,2018-11-24,2018-11-24
1467827,2007-12-01,2018-11-24,2018-11-24
1492534,2008-01-01,2018-11-24,2018-11-24
1507484,2008-02-01,2018-11-24,2018-11-24
1508542,2008-03-01,2018-11-24,2018-11-24
1518272,2008-04-01,2018-11-24,2018-11-24
1511716,2008-05-01,2018-11-24,2018-11-24
1514790,2008-06-01,2018-11-24,2018-11-24
1526794,2008-07-01,2018-11-24,2018-11-24
1524961,2008-08-01,2018-11-24,2018-11-24
1528606,2008-09-01,2018-11-24,2018-11-24
1544463,2008-10-01,2018-11-24,2018-11-24
1529966,2008-11-01,2018-11-24,2018-11-24
1446587,2008-12-01,2018-11-24,2018-11-24
1438642,2009-01-01,2018-11-24,2018-11-24
1424509,2009-02-01,2018-11-24,2018-11-24
1405771,2009-03-01,2018-11-24,2018-11-24
1389839,2009-04-01,2018-11-24,2018-11-24
1365423,2009-05-01,2018-11-24,2018-11-24
1342870,2009-06-01,2018-11-24,2018-11-24
1330686,2009-07-01,2018-11-24,2018-11-24
1311763,2009-08-01,2018-11-24,2018-11-24
1317814,2009-09-01,2018-11-24,2018-11-24
1351120,2009-10-01,2018-11-24,2018-11-24
1363163,2009-11-01,2018-11-24,2018-11-24
1313730,2009-12-01,2018-11-24,2018-11-24
1323939,2010-01-01,2018-11-24,2018-11-24
1338459,2010-02-01,2018-11-24,2018-11-24
1348750,2010-03-01,2018-11-24,2018-11-24
1356023,2010-04-01,2018-11-24,2018-11-24
1351924,2010-05-01,2018-11-24,2018-11-24
1355584,2010-06-01,2018-11-24,2018-11-24
1369854,2010-07-01,2018-11-24,2018-11-24
1379854,2010-08-01,2018-11-24,2018-11-24
1407491,2010-09-01,2018-11-24,2018-11-24
1451907,2010-10-01,2018-11-24,2018-11-24
1464594,2010-11-01,2018-11-24,2018-11-24
1430830,2010-12-01,2018-11-24,2018-11-24
1453907,2011-01-01,2018-11-24,2018-11-24
1469496,2011-02-01,2018-11-24,2018-11-24
1491032,2011-03-01,2018-11-24,2018-11-24
1505339,2011-04-01,2018-11-24,2018-11-24
1514063,2011-05-01,2018-11-24,2018-11-24
1510182,2011-06-01,2018-11-24,2018-11-24
1520115,2011-07-01,2018-11-24,2018-11-24
1527178,2011-08-01,2018-11-24,2018-11-24
1536239,2011-09-01,2018-11-24,2018-11-24
1580458,2011-10-01,2018-11-24,2018-11-24
1588233,2011-11-01,2018-11-24,2018-11-24
1543158,2011-12-01,2018-11-24,2018-11-24
1564521,2012-01-01,2018-11-24,2018-11-24
1585354,2012-02-01,2018-11-24,2018-11-24
1594813,2012-03-01,2018-11-24,2018-11-24
1603677,2012-04-01,2018-11-24,2018-11-24
1601220,2012-05-01,2018-11-24,2018-11-24
1591481,2012-06-01,2018-11-24,2018-11-24
1606774,2012-07-01,2018-11-24,2018-11-24
1613406,2012-08-01,2018-11-24,2018-11-24
1637897,2012-09-01,2018-11-24,2018-11-24
1677990,2012-10-01,2018-11-24,2018-11-24
1684151,2012-11-01,2018-11-24,2018-11-24
1631961,2012-12-01,2018-11-24,2018-11-24
1662600,2013-01-01,2018-11-24,2018-11-24
1670679,2013-02-01,2018-11-24,2018-11-24
1671459,2013-03-01,2018-11-24,2018-11-24
1677618,2013-04-01,2018-11-24,2018-11-24
1664568,2013-05-01,2018-11-24,2018-11-24
1651162,2013-06-01,2018-11-24,2018-11-24
1661088,2013-07-01,2018-11-24,2018-11-24
1667624,2013-08-01,2018-11-24,2018-11-24
1689603,2013-09-01,2018-11-24,2018-11-24
1736805,2013-10-01,2018-11-24,2018-11-24
1745544,2013-11-01,2018-11-24,2018-11-24
1694432,2013-12-01,2018-11-24,2018-11-24
1719546,2014-01-01,2018-11-24,2018-11-24
1735154,2014-02-01,2018-11-24,2018-11-24
1743559,2014-03-01,2018-11-24,2018-11-24
1754431,2014-04-01,2018-11-24,2018-11-24
1750474,2014-05-01,2018-11-24,2018-11-24
1739243,2014-06-01,2018-11-24,2018-11-24
1750970,2014-07-01,2018-11-24,2018-11-24
1752955,2014-08-01,2018-11-24,2018-11-24
1770220,2014-09-01,2018-11-24,2018-11-24
1810921,2014-10-01,2018-11-24,2018-11-24
1814882,2014-11-01,2018-11-24,2018-11-24
1754529,2014-12-01,2018-11-24,2018-11-24
1771412,2015-01-01,2018-11-24,2018-11-24
1782670,2015-02-01,2018-11-24,2018-11-24
1786708,2015-03-01,2018-11-24,2018-11-24
1797087,2015-04-01,2018-11-24,2018-11-24
1787824,2015-05-01,2018-11-24,2018-11-24
1786571,2015-06-01,2018-11-24,2018-11-24
1791658,2015-07-01,2018-11-24,2018-11-24
1790448,2015-08-01,2018-11-24,2018-11-24
1811055,2015-09-01,2018-11-24,2018-11-24
1848205,2015-10-01,2018-11-24,2018-11-24
1844639,2015-11-01,2018-11-24,2018-11-24
1784410,2015-12-01,2018-11-24,2018-11-24
1799678,2016-01-01,2018-11-24,2018-11-24
1800451,2016-02-01,2018-11-24,2018-11-24
1810956,2016-03-01,2018-11-24,2018-11-24
1817174,2016-04-01,2018-11-24,2018-11-24
1808888,2016-05-01,2018-11-24,2018-11-24
1800995,2016-06-01,2018-11-24,2018-11-24
1800786,2016-07-01,2018-11-24,2018-11-24
1802897,2016-08-01,2018-11-24,2018-11-24
1822195,2016-09-01,2018-11-24,2018-11-24
1854530,2016-10-01,2018-11-24,2018-11-24
1870309,2016-11-01,2018-11-24,2018-11-24
1817500,2016-12-01,2018-11-24,2018-11-24
1839077,2017-01-01,2018-11-24,2018-11-24
1848563,2017-02-01,2018-11-24,2018-11-24
1856341,2017-03-01,2018-11-24,2018-11-24
1854169,2017-04-01,2018-11-24,2018-11-24
1847923,2017-05-01,2018-11-24,2018-11-24
1846889,2017-06-01,2018-11-24,2018-11-24
1851463,2017-07-01,2018-11-24,2018-11-24
1863853,2017-08-01,2018-11-24,2018-11-24
1883533,2017-09-01,2018-11-24,2018-11-24
1916487,2017-10-01,2018-11-24,2018-11-24
1929645,2017-11-01,2018-11-24,2018-11-24
1881009,2017-12-01,2018-11-24,2018-11-24
1912870,2018-01-01,2018-11-24,2018-11-24
1930385,2018-02-01,2018-11-24,2018-11-24
1929823,2018-03-01,2018-11-24,2018-11-24
1935439,2018-04-01,2018-11-24,2018-11-24
1929252,2018-05-01,2018-11-24,2018-11-24
1919782,2018-06-01,2018-11-24,2018-11-24
1931252,2018-07-01,2018-11-24,2018-11-24
1942182,2018-08-01,2018-11-24,2018-11-24
1966573,2018-09-01,2018-11-24,2018-11-24
