,part_number,class,descrip,descrip2,cost,onhand,onorder,master_list,custno,revision,aql,syscom,physical,oldcost,owner
102,2cbfd861d5b8,,MS19060-4812,,0.19802,1,0,Y,13701,D,4,,N,0,A
103,68fbbb4e10fb,,AN844-10D,,22.85,251,0,Y,17580,11,1,,N,0,A
104,bf2783fee8b6,,HELICOIL P/N 5266-27TNW270,(M27 X 2 INCONEL W/DRY FILM LUBRICANT),14,186,0,Y,104300,NR,4,,N,0,A
105,1b26e94c5823,,".150-50 Uns-2A Grip Screw, 1018 material",Carb(.7%-.9% CP) H15n 88-92 (.008 case) Bl/Oxide,0.061,4000,0,Y,14700,3,1,,N,0,A
106,defc9b72805b,,Fore-End Screw  1018 Material,Hardness H15N 78-92  HTS: 7318.15.4000,0.1514,5635,0,Y,14700,20,1,,N,0,A
107,ad47960e7bf3,,.239 X .070 (-010) 70 BUNA N188 MATERIAL,INTERNAL LUBE  (N188 REPLACED N442) COO-Mexico,0.0075,217400,0,,,,0,,N,0,A
108,ef23d1c1accd,,6-40 x .232 Fore Arm screw.08-.20 No Lead,"Black Ox, R15N 88-92",0.00356,70000,0,Y,14700,7,1,,N,0,A
109,514324383b11,,0.074 x 0.317 Sear Roller 8620,HR15n 88-92 Black Oxide  HTS: 7318.29.0000,0.10735,23335,0,Y,144300,2,1,,N,0,A
110,7612c6f9c080,,"3/8-16 X 1 1/4 SLOTTED FLAT HD MS, 316SS",HTS; 7318.15.4000,0.145,4400,0,,,,0,,N,0,A
111,e0fba50c5485,,SINTERED METAL FILTER TO PRINT,,3.6,5117,0,Y,13702,-,4,,N,0,A
112,e27ff81e8772,,1/4-28 X 6 1/2  Slot Hex Cap GR 5 w/ Vibratite,"Alloy Steel Per ASME B18.2.1, Vibratite",0,33500,0,Y,14700,5,1,,N,0,A
113,7e12c7e6970c,,"1/4-28 x 8.125 Stock Bolt, 1022 Steel",Black Oxide (Dwg B-18571),0,10000,0,Y,14700,19,1,,N,0,A
114,a1dff4f77316,,REHN P/N 542-K-SS,,0.485,3397,0,,,,0,,N,0,A
115,001d47c164da,,Short Handle Cab Lock,316 SS w / 4 Holes ; per B/P,10.98,1091,0,,,,0,,N,0,A
116,11ab754b55a6,,"Screw, Heat Treated, Plated",,0.15116,-77200,0,Y,14700,1,1,,N,0,A
117,86ccbfa9de45,,STEEL SPACER TO PRINT,NO FINISH,0.1,15000,0,Y,14700,5,1,,N,0,A
118,f1ff9caa0a8b,,"3/8-16 HEX MS NUT, BRASS",,0.07586,0,0,,,,0,,N,0,A
119,197e42e1a42f,,GROMMET TO PRINT,,0.15537,1956,0,,,,0,,N,0,A
120,4edb0af54639,,.1249 x .865 Ground Pin 52100 Material,"R45N 43-49, B/Oxide; (Old 24475) HTS: 7318.29.0000",0.01655,117000,0,Y,14700,77,1,,N,0,A
121,c9c792850045,,"5/16 MED L/W, SILICON BRONZE",,0.03289,95000,0,,,,0,,N,0,A
122,4ab5c3c85e18,,RECTUS P/N 20SF-TF05-MXN,,1.64824,700,0,,,,0,,N,0,A
123,2021ccf83109,,"Screw, Heat Treated, Plated",,0,0,0,Y,14700,1,1,,N,0,A
124,2878f3ca0891,,"5-40 x 5/32 Socket Set Cup Pt, Alloy",with Locking Feature,0.0145,5000,0,Y,14700,1,1,,N,0,A
125,e4f333f3f6b0,,".1875 x 1.540 Grooved Pin, 12L14 Material","HRa49.5 Min, Black Oxide",0,0,0,,,,0,,N,0,A
126,ac08b7cc0e43,,"Screw, Heat Treated, Plated, Nyloked",,0.86238,32940,0,Y,14700,1,1,,N,0,A
127,d07f1aa0f426,,"Screw, Heat Treated, Plated",,0.10923,10000,0,Y,14700,1,1,,N,0,A
128,22f4093f0e9b,,SQUARE HD DRILLED PLUG TO B/P,,0.34,821,0,Y,17580,J,1,,N,0,A
129,9.55749E+11,,M10 x 1.5 Screw-Lock thread Insert,with Dry Film Lubricant,3.5,905,0,Y,13702,NR,4,,N,0,A
130,be9737a093df,,"8-32 X 3/16 SOCKET SET SCREW CONE PT, ALLOY",BLACK OXIDE W/LIGHT OIL COAT  (OLD P/N 098136),0.0116,955000,0,,,,0,,N,0,A
131,8ff72aeb6568,,1/4-20 X 5/8 SLOTTED PAN HD MS W/EXT L/W SEMS,TO PRINT,0.04226,159754,0,Y,17580,C,1,,N,0,A
132,aa42250cf03e,,0.44 x 0.33 COPPER TUBING MATTE TIN FINISH,ROCKWELL 15T 63-70,0.0531,0,0,,,,0,,N,0,C
133,f70afd388753,,"8 X 1 PHIL PAN HD SMS TYPE A, ZINC",COO-Taiwan,0.00704,339600,0,,,,0,,N,0,A
134,a194806163ec,,"6-40 UNF-2A x .1745 Finger Level Screw,","8-20% carbon, no lead, with RP oil",0.15,21598,0,,,,0,,N,0,A
135,57d1cbffa625,,"5/16-18 X .810 Unslt Ind Hex Wshr Hd, Taptite","Steel, Phosphate & Wax ;  HTS:7318.15.4000",0.03656,130190,0,Y,60,G,1,,N,0,A
136,8e0453181088,,"3/8 X 1 3/8 FLAT HD ANNEALED RIVET, PLAIN",(700 per box),0.06325,64243,0,,,,0,,N,0,A
137,572a61408d57,,10-32 X 3/16 Special Button Socket Screw,4137 H 36-42 Black : HTS : 7318.15.6040,0.0495,40000,0,Y,14700,11,1,,N,0,A
138,50ab88889cef,,"3/8 X 1 1/8 FLAT HD ANNEALED RIVET, PLAIN",(750 PCS/BOX),0.05975,82264,0,,,,0,,N,0,A
139,d7e5b13ff2bd,,MS16629-4081,(100 PCS/BAG),0.46631,7019,0,Y,13701,E,4,,N,0,A
140,a8f2afa903b1,,13/16-16 x 3 1/4  Rd Hd Bolt w/ 3/8 hole SAE4140,"RC 36-.43, BD : .810 / .805, HTS: 7318.15.2051",2.85491,1761,0,,,,0,,N,0,A
141,ea98cc7ac49e,,"M10 X 1.5 X 50MM HHCS, BRASS",,0.48,2460,0,,,,0,,N,0,A
142,0fef758d0208,,".1875 x 1.450 Grooved Pin, 12L14","HRa49.5 Min, Black Oxide",0,0,0,,,,0,,N,0,A
143,ea4a5af3c3c8,,"Button Face Insert Nut, Aluminum 6061-T6","Black Anodize,  HTS : 7318.16.0085",0.655,698,0,Y,14700,1,1,,N,0,A
144,26c908e6928d,,"3/8-16 WING NUT, 316SS",,0.1128,1800,0,,,,0,,N,0,A
145,294899736b47,,3/4-10 SLAM LOCK PLUG 316 SS TO DWG,W/ ORING  AS568A-114,1.54,3270,0,,,,0,,N,0,A
146,14b0ed5936df,,"8-32 X 1/4 LOW HD SHCS, ALLOY",,0.01099,160800,0,,,,0,,N,0,A
147,8b78c86e320f,,"8-32 X 1/2 Phil Pan Screw w/ L/W & F/W,",18-8 Stainless Steel ; HTS 7318.15.4000,0,0,0,,,,0,,N,0,A
148,d2fe5e3be68e,,"0-40 X 1/4 TORX PAN HD PLASTITE, STEEL",W/NICKEL PLATING,0.0179,123800,0,,,,0,,N,0,A
149,a274f4bb935f,,MS16629-4050,(50 PCS/BAG),0.2862,15461,0,Y,13713,E,4,,N,0,A
150,2978c49f7393,,"1.71 Long Strut Pin,1215 No Lead, Bl/Oxide","Carb (.75% CP), HR15n 88-92 (.008 min Case)",0.1093,5000,0,Y,14700,1,1,,N,0,A
151,c31aac4bf976,,HOLE PLUG TO PRINT,HTS : 7318.29.0000,0.124,25000,0,,,,0,,N,0,A
152,7cb676d57114,,"Brass Plumbing Goods, Chrome Plated","AERATOR ADAPTOR, 7419.91.0010",1.50867,1687,0,,,,0,,N,0,A
153,bfce684c3e16,,"#8 X 1 3/4 Phil Wafer Screw, #2 Phil Drive Steel",Zinc Plated (Mfg Spec) ; 202537  HTS; 7318.14.1060,0.02163,66000,0,,,,0,,N,0,A
154,0d4df19d46be,,O-RING TO PRINT,,0.014,231174,0,,,,0,,N,0,A
155,57fe06302c5c,,MS16627-4075,(100 PCS/BAG),0.3883,5911,0,Y,13701,C,4,,N,0,A
156,0a569cec59e7,,"1/2 X 1 3/8 FLAT HD ANNEALED RIVET, PLAIN",(350 PCS/BOX),0.1155,106358,0,,,,0,,N,0,A
157,02d7b3852c10,,"10-24 Open Eye Screw, C1008 Steel, zinc",Screw Hook ; HTS ; 7318.13.0030,0,0,0,,,,0,,N,0,A
158,edd78518de04,,"1/4-20 X 1 1/4 HHCS, BRASS W/BRITE DIP TO PRINT",HTS: 7415.33.8010,0.11855,1400,0,,,,0,,N,0,A
159,296d45c21c5a,,"Tubular Heater ; 12V60W, Orange Mark",Brake Drain Valve : HTS ; 8708.30.5090,0.53,30000,0,,,,0,,N,0,A
160,d620fa98e15c,,"1.240 x 0245 PIN, AISI 12L14","R15N 78-85, Black Oxide : HTS : 7318.29.0000",0.01496,44235,0,Y,14700,54,1,,N,0,A
161,0bb834c319d2,,"3/8-16 X 1 SLOTTED FLAT HD MS, 316SS",,0.19018,12800,0,,,,0,,N,0,A
162,b520319a2383,,"10-32 KNURLED THUMB NUT, 18-8","Nut, Other, Stainless : HTS ; 7318.16.0060",0.38,6500,0,,,,0,,N,0,A
163,87cb9455225e,,"#8 X 1 1/2 Phil Wafer Screw, #2 Phil Drive Steel,",Zinc Plated (Mfg Spec) ; 202537  HTS; 7318.14.1060,0,42200,0,Y,14700,4,1,,N,0,A
164,3436bd1d4d1c,,"2 1/2"" CLAMPING U-BOLT, 304SS",(MCMASTER CARR P/N 3042T57),4.32285,311,0,,,,0,,N,0,A
165,a2734744016c,,"1/2-13 X 1 LOCKING ARM BLOCK ""C""",6061-T ALUMINUM  HTS: 7609.00.0000,0.6,4300,0,,,,0,,N,0,A
166,9debf2739b93,,1 1/2 NPT-11-1/2 x 1.13 X 2.23 OD  Coupling,"Aluminum 6061-T6, HTS:7609.00.0000",0.95,2400,0,,,,0,,N,0,A
167,93a83415c362,,CENTURY SPRING P/N 3719,,0,0,0,,,,0,,N,0,A
168,8d97ca5be018,,"1/2-13 X 1 1/2 HHCS, 316SS",,0.22306,1720,0,,,,0,,N,0,A
169,c47ab4b13f10,,59FAF-518,(MUST BE MFG'D BY SPS),1.49173,6650,0,Y,17580,A,1,,N,0,A
170,f55aa125b065,,"M3 X .5 X 8mm Phil Pan Hd MS, Steel Vibratite",COO-Taiwan  ; HTS : 7318.15.6000,0.02463,54017,0,,,,0,,N,0,A
171,827fc1945127,,Endcap Casting Raydeon Without Wire Holes,Aluminum 380 with Chromate then Black Powder,2.51,815,0,,,,0,,N,0,C
172,2f5df1d78d8e,,"6-32 X 3/8 PHIL PAN HD MS, ZINC W/VIBRATITE",Machine Screw ; HTS : 7318.15.4000,0.0165,28860,0,,,,0,,N,0,A
