part_number,cost,qty_sold,Label
fd63d7703a9c,0.02919,21,Overseas
4de664a63627,0.18,100,Standard
39e68f8084d6,0.3885,7,Standard
bee322bf0e5a,0.049,81,Overseas
7dac0eddad14,0.054,77,Overseas
f514f46d4838,0.02,18,Overseas
d04f244cc95e,0.03785,67,Overseas
b97e074885c1,0.0074,83,Overseas
97b0a19eb869,0.01035,75,Overseas
744fbfd6f0c2,0.02751,60,Overseas
191eb50e8ab8,0.05152,45,Overseas
d9cc0c7209df,0.02477,18,Overseas
a9370e9cbbe4,0.21,12,Standard
897c7151b151,0,41,Overseas
a170e461d95d,0,9,Overseas
7f055f7b22cf,0.46,12,Standard
84023c7b240a,0.03636,86,Overseas
8fca34e06539,0.3,68,Standard
a2f92cbdda11,0.53,87,Standard
3b60c89daf0c,0.40025,67,Standard
26a2dc4e4bf1,0.306,100,Standard
5d1ff6a613a3,0.15,34,Overseas
582c15d5ba14,0.03,4,Overseas
3d5ad4629ed6,0.70632,88,Custom
cd9ae29208a7,0.03624,34,Overseas
3032dbc9378d,0.07,16,Overseas
ef3de97c4022,0.018,58,Overseas
278a6522aa05,0,23,Overseas
8a481361533a,0.175,88,Standard
c66464b642a9,1.5455,37,Custom
6ea2063999d5,0,95,Overseas
ac2d4afbcbd5,0.0121,7,Overseas
ebabed408264,0.03744,87,Overseas
372e85a7a833,0.118,38,Overseas
cf0fa7997ddf,0.02142,95,Overseas
826d5d03b9db,0.02396,74,Overseas
167effad047c,0.057,41,Overseas
75494fc67522,0.28654,56,Standard
aab44b36674d,0,88,Overseas
878b5a168b97,0.37,61,Standard
ef120421b80d,0.0115,13,Overseas
0741318b80cf,0.028,49,Overseas
6c74158a7081,0.022,94,Overseas
91c3c8593973,0.084,30,Overseas
28cee5f7d941,0.02398,45,Overseas
525775877e4c,0.0249,95,Overseas
6cc018210bfe,4.82,37,Custom
564461c2f851,0.6187,1,Custom
a0b3f37ea09a,0.181,81,Standard
12a6b3240c2f,0.0205,44,Overseas
011590bb6399,0.00572,91,Overseas
26a4d5d3208d,1.03,9,Custom
696ea379a095,0.151,44,Overseas
1af534464fb1,2.09,28,Custom
fc4fb2947953,0.1553,68,Standard
ee99f5aed577,0.125,8,Overseas
907985177f30,0,78,Overseas
